,img_path,point
78,processed_image\point_1.5\019.jpg,1.5
79,processed_image\point_1.5\020.jpg,1.5
80,processed_image\point_1.5\021.jpg,1.5
81,processed_image\point_1.5\022.jpg,1.5
82,processed_image\point_1.5\023.jpg,1.5
83,processed_image\point_1.5\024.jpg,1.5
84,processed_image\point_1.5\025.jpg,1.5
85,processed_image\point_1.5\026.jpg,1.5
86,processed_image\point_1.5\027.jpg,1.5
87,processed_image\point_1.5\028.jpg,1.5
88,processed_image\point_1.5\029.jpg,1.5
89,processed_image\point_1.5\030.jpg,1.5
90,processed_image\point_2.0\001.jpg,2.0
91,processed_image\point_2.0\002.jpg,2.0
92,processed_image\point_2.0\003.jpg,2.0
93,processed_image\point_2.0\004.jpg,2.0
94,processed_image\point_2.0\005.jpg,2.0
95,processed_image\point_2.0\006.jpg,2.0
96,processed_image\point_2.0\007.jpg,2.0
97,processed_image\point_2.0\008.jpg,2.0
98,processed_image\point_2.0\009.jpg,2.0
99,processed_image\point_2.0\010.jpg,2.0
100,processed_image\point_2.0\011.jpg,2.0
101,processed_image\point_2.0\012.jpg,2.0
102,processed_image\point_2.0\013.jpg,2.0
103,processed_image\point_2.0\014.jpg,2.0
104,processed_image\point_2.0\015.jpg,2.0
105,processed_image\point_2.0\016.jpg,2.0
106,processed_image\point_2.0\017.jpg,2.0
107,processed_image\point_2.0\018.jpg,2.0
108,processed_image\point_2.0\019.jpg,2.0
109,processed_image\point_2.0\020.jpg,2.0
110,processed_image\point_2.0\021.jpg,2.0
111,processed_image\point_2.0\022.jpg,2.0
112,processed_image\point_2.0\023.jpg,2.0
113,processed_image\point_2.0\024.jpg,2.0
114,processed_image\point_2.0\025.jpg,2.0
115,processed_image\point_2.0\026.jpg,2.0
116,processed_image\point_2.0\027.jpg,2.0
117,processed_image\point_2.0\028.jpg,2.0
118,processed_image\point_2.0\029.jpg,2.0
119,processed_image\point_2.0\030.jpg,2.0
120,processed_image\point_2.5\001.jpg,2.5
121,processed_image\point_2.5\002.jpg,2.5
122,processed_image\point_2.5\003.jpg,2.5
123,processed_image\point_2.5\004.jpg,2.5
124,processed_image\point_2.5\005.jpg,2.5
125,processed_image\point_2.5\006.jpg,2.5
126,processed_image\point_2.5\007.jpg,2.5
127,processed_image\point_2.5\008.jpg,2.5
128,processed_image\point_2.5\009.jpg,2.5
129,processed_image\point_2.5\010.jpg,2.5
130,processed_image\point_2.5\011.jpg,2.5
131,processed_image\point_2.5\012.jpg,2.5
132,processed_image\point_2.5\013.jpg,2.5
133,processed_image\point_2.5\014.jpg,2.5
134,processed_image\point_2.5\015.jpg,2.5
135,processed_image\point_2.5\016.jpg,2.5
136,processed_image\point_2.5\017.jpg,2.5
137,processed_image\point_2.5\018.jpg,2.5
138,processed_image\point_2.5\019.jpg,2.5
139,processed_image\point_2.5\020.jpg,2.5
140,processed_image\point_2.5\021.jpg,2.5
141,processed_image\point_2.5\022.jpg,2.5
142,processed_image\point_2.5\023.jpg,2.5
143,processed_image\point_2.5\024.jpg,2.5
144,processed_image\point_2.5\025.jpg,2.5
145,processed_image\point_2.5\026.jpg,2.5
146,processed_image\point_2.5\027.jpg,2.5
147,processed_image\point_2.5\028.jpg,2.5
148,processed_image\point_2.5\029.jpg,2.5
149,processed_image\point_2.5\030.jpg,2.5
150,processed_image\point_3.0\001.jpg,3.0
151,processed_image\point_3.0\002.jpg,3.0
152,processed_image\point_3.0\003.jpg,3.0
153,processed_image\point_3.0\004.jpg,3.0
154,processed_image\point_3.0\005.jpg,3.0
155,processed_image\point_3.0\006.jpg,3.0
156,processed_image\point_3.0\007.jpg,3.0
157,processed_image\point_3.0\008.jpg,3.0
158,processed_image\point_3.0\009.jpg,3.0
159,processed_image\point_3.0\010.jpg,3.0
160,processed_image\point_3.0\011.jpg,3.0
161,processed_image\point_3.0\012.jpg,3.0
162,processed_image\point_3.0\013.jpg,3.0
163,processed_image\point_3.0\014.jpg,3.0
164,processed_image\point_3.0\015.jpg,3.0
165,processed_image\point_3.0\016.jpg,3.0
166,processed_image\point_3.0\017.jpg,3.0
167,processed_image\point_3.0\018.jpg,3.0
168,processed_image\point_3.0\019.jpg,3.0
169,processed_image\point_3.0\020.jpg,3.0
170,processed_image\point_3.0\021.jpg,3.0
171,processed_image\point_3.0\022.jpg,3.0
172,processed_image\point_3.0\023.jpg,3.0
173,processed_image\point_3.0\024.jpg,3.0
174,processed_image\point_3.0\025.jpg,3.0
175,processed_image\point_3.0\026.jpg,3.0
176,processed_image\point_3.0\027.jpg,3.0
177,processed_image\point_3.0\028.jpg,3.0
178,processed_image\point_3.0\029.jpg,3.0
179,processed_image\point_3.0\030.jpg,3.0
180,processed_image\point_3.0\031.jpg,3.0
181,processed_image\point_3.0\032.jpg,3.0
